NIST peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1214.2275,1215.0133357506134,3.318202395961013,1214,?,0.0
1303.0695,1305.0314613537835,2.544769384964467,1303,?,0.0
1448.9044,1446.208430911729,0.40929271272342693,1449,?,0.0
1507.5736,1505.0956387205952,0.4305977903224752,1508,?,0.0
1519.3075,1520.589654355361,1.9221979014600903,1519,?,0.0
1554.509,1551.9299234143928,0.4413537771315703,1555,?,0.0
1603.1207,1605.1544776876501,0.8735646105592061,1603,?,0.0
1713.7542,1711.2576794795214,0.4177633460100645,1714,?,0.0
1747.2794,1748.3855531118752,3.050422495518113,1747,?,0.0
1817.6825,1817.0828552561522,2.066020872974256,1818,?,0.0
