Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1403.7711,1403.7711,0.0,1404,?,0.0
1479.2095,1481.9828000000002,0.0,1482,?,0.0
1495.9738,1495.9728,0.0,1496,?,0.0
1506.0322,1506.0322,0.0,1506,?,0.0
1524.4728,1524.4728,0.0,1524,?,0.0
1552.9718,1552.9718,0.0,1553,?,0.0
1573.0886,1573.0886,0.0,1573,?,0.0
1633.4396,1633.4396,0.0,1633,?,0.0
1775.9346,1775.9346,0.0,1776,?,0.0
1881.5485,1881.5485,0.0,1882,?,0.0
1913.4004,1913.4004,0.0,1913,?,0.0
1931.841,1931.841,0.0,1932,?,0.0
0.0,1380.5228000000002,0.0,1381,?,False
0.0,1802.9028,0.0,1803,?,False
0.0,1820.9028,0.0,1821,?,False
0.0,1843.0628000000002,0.0,1843,?,False
0.0,1600.7128,0.0,1601,?,False
0.0,1621.4828000000002,0.0,1621,?,False
0.0,1667.1828,0.0,1667,?,False
0.0,1683.8028,0.0,1684,?,False
0.0,1710.1128,0.0,1710,?,False
0.0,1722.5828000000001,0.0,1723,?,False
0.0,1736.4328,0.0,1736,?,False
0.0,1753.2328,0.0,1753,?,False
0.0,1764.3028,0.0,1764,?,False
0.0,1970.4828000000002,0.0,1970,?,False
